Номер,Название,Город,Адрес,Период,Иконка,Состояние
661710829450005,Церковь,Верхотурский район,"Верхотурский район, с. Усть-Салда",с 1850 до 1880,Церковь,Удовлетворительное
661710829460005,Общественное здание,Верхотурье,"г. Верхотурье, ул. Карла Маркса, д. 18",с 1850 до 1880,Домик,Хорошее
661710829490005,Воскресенская церковь,Верхотурье,Верхотурье,до 1800,Церковь,Плохое
661710829510005,Жилой дом с мезонином,Верхотурье,"г. Верхотурье, ул. Дидковского, д. 1",период не определен,Домик,Плохое
661710829530005,Жилой дом,Верхотурье,"г. Верхотурье, ул. Дидковского, д. 5",период не определен,Домик,Хорошее
661710829550005,Жилой дом,Верхотурье,"г. Верхотурье, ул. Дидковского, д. 9",период не определен,Изба,Удовлетворительное
661710829590005,Дом почетных гостей,Верхотурье,"г. Верхотурье, пер. Кузнечный, д. 14",с 1900 до 1920,Изба,Хорошее
661710829620005,Церковь Успения Пресвятой Богородицы,Верхотурье,"г. Верхотурье, ул. Гагарина, д. 27а",с 1800 до 1850,Церковь,Удовлетворительное
661710829640005,Жилой дом,Верхотурье,"г. Верхотурье, ул. Гагарина, д. 44",период не определен,Изба,Удовлетворительное
661710830880005,Дом с мезонином,Утрачен,Утрачен,с 1900 до 1920,Домик,Не доступен
661710830890005,Жилой дом,Верхотурье,"г. Верхотурье, ул. Большая, д. 26",до 1800,Изба,Удовлетворительное
661710830900005,"Дом, в котором родился и жил уральский революционер И. Малышев",Верхотурье,"г. Верхотурье, ул. Малышева, д. 32",период не определен,Изба,Удовлетворительное
661710832120005,"Место захоронения 14 советских воинов, умерших от ран в госпиталях г. Свердловска в 1941-1945 гг.",Екатеринбург,"г. Екатеринбург, Нижнеисетское кладбище",с 1940 до 1960,Монумент,Не доступен
661710832130005,"Захоронение 21 советского воина, умерших от ран в госпиталях г. Свердловска в 1941-1945 гг.",Екатеринбург,"г. Екатеринбург, Широкореченский мемориальный комплекс",с 1940 до 1960,Домик,Ансамбль
661710842290006,Церковь,Нижняя Синячиха,"Алапаевский район, с. Нижняя Синячиха, ул. Первомайская, д. 20, корпус 1",с 1800 до 1850,Церковь,Удовлетворительное
661710842320005,Здание бывшего управления горного округа,Алапаевск,"г. Алапаевск, ул. Ленина, д. 33",период не определен,Домик,Удовлетворительное
661710842330005,"Дом, где в 1905 г. заседал первый на Урале Совет рабочих депутатов",Алапаевск,"г. Алапаевск, ул. Ленина, д. 18",с 1900 до 1920,Домик,Удовлетворительное
