Номер,Название,Город,Адрес,Период,Иконка,Состояние
661620668520005,Симановская мельница,Екатеринбург,"г. Екатеринбург, ул. Челюскинцев, д. 58",с 1880 до 1900,Ансамбль,Ансамбль
661620702880005,Усадьба купца Ваганова,Екатеринбург,"г. Екатеринбург, ул. Радищева, д. 6-8",с 1850 до 1880,Ансамбль,Ансамбль
661710747610005,"Дом, где в мае 1919 г. проходило первое собрание комсомольцев и возникла городская организация РКСМ",Нижний Тагил,"г. Нижний Тагил, пр. Ленина, д. 7",с 1900 до 1920,Домик,Удовлетворительное
661710747620005,"Дом, где в 1918 г. формировались кавалерийские части Красной Армии",Нижний Тагил,"г. Нижний Тагил, пр. Ленина, д. 17",с 1900 до 1920,Домик,Удовлетворительное
661710747630005,"Дом, в котором находился в 1918 г. штаб Красной гвардии",Нижний Тагил,"г. Нижний Тагил, пр. Ленина, д. 21",с 1920 до 1940,Домик,Хорошее
661710747640005,"Здание, где в 1900 г. возник первый в городе революционный кружок. В 1932 г. жил выдающийся поэт татарского народа Муса Джалиль",Серов,"г. Серов, ул. Агломератчиков, д. 9",с 1900 до 1920,Изба,Удовлетворительное
661710747650005,"Здание, где в 1918 г. жила известная Уральская большевичка, соратница Я.М. Свердлова - К.И. Кирсанова",Серов,"г. Серов, ул. Агломератчиков, д. 13",с 1900 до 1920,Изба,Плохое
661710747660005,Плотина городского пруда,Каменск-Уральский,"г. Каменск-Уральский, ул. Карла Маркса",до 1800,Мост,Хорошее
661710747670005,Дом купца Н.А. Грачева,Екатеринбург,"г. Екатеринбург, ул. Чернышевского, д. 2/44",с 1880 до 1900,Домик,Хорошее
661710747690005,Дом купца А.В. Бородина,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 17а",с 1880 до 1900,Дворец,Хорошее
661710747700005,Дом жилой,Екатеринбург,"г. Екатеринбург, проспект Ленина, д. 9",с 1850 до 1880,Домик,Хорошее
